DETALLE DE NOMBRE ENSAYADO	COMPOSITO	PESO	"Cu %-m1"" AQ"	"CuSolH+ %-m1"""	"CuCN-% -m1""AQ"	"CuRes%-m1""AQ"	"Fe%-m1""AQ"	"S(t)%-m1""AQ"	"CO3%-m1""AQ"	"Al%-m1""ICP"	"Ca %-m1""ICP"	"Fe %-m1""ICP"	"K %-m1""ICP"	"Mg %-m1""ICP"	"Na %-m1""ICP"	"P %-m1""ICP"	"S %-m1""ICP"	"Ti %-m1""ICP"	"Cu ppm-m1""ICP"	"Mn ppm-m1""ICP"	"Sr ppm-m1""ICP"	"Ba ppm-m1""ICP"	"Zn ppm-m1""ICP"	"Cr ppm-m1""ICP"	"V ppm-m1""ICP"	"Ag ppm-m1""ICP"	"As ppm-m1""ICP"	"Be ppm-m1""ICP"	"Bi ppm-m1""ICP"	"Cd ppm-m1""ICP"	"Co ppm-m1""ICP"	"Ga ppm-m1""ICP"	"La ppm-m1""ICP"	"Mo ppm-m1""ICP"	"Nb ppm-m1""ICP"	"Ni ppm-m1""ICP"	"Pb ppm-m1""ICP"	"Sb ppm-m1""ICP"	"Sc ppm-m1""ICP"	"Sn ppm-m1""ICP"	"Tl ppm-m1""ICP"	"W ppm-m1""ICP"	"Y ppm-m1""ICP"	"Zr ppm-m1""ICP"	"Cu%-m1/2""AQ"	"CuSolH+ %-m1/2""AQ"	"CuCN-%-m1/2""AQ"	"CuRes%-m1/2""AQ"	Fe%AQ	"S(t)%-m1/2""AQ"	"CO3%-m1/2""AQ"	"Densidad Aparente (gr/ce)-m1/2"""	"Gravedad Específica -m1/2"""	Cu%-m65 TyAQ	CuSolH+ %-m65 TyAQ	CuCN-%-m65 TyAQ	CuRes%-m65 TyAQ	Fe%-m65 TyAQ	S(t)%-m65 TyAQ	CO3%-m65 TyAQ	"H2SO4 (g/L) LD""BTR"	"Cu Ensayado LD""BTR"	"Fe EnsayadoLD""BTR"	"Cu CalculadoLD""BTR"	"Fe CalculadoLD""BTR"	"Cu RipioLD""BTR"	"Fe RipioLD""BTR"	"Cu extraccionLD""BTR"	"Fe extraccionLD""BTR"	"H2SO4 consumo (Kg/t)LD""BTR"	"H2SO4 (g/L) LD/2""BTR"	"Cu Ensayado LD/2""BTR"	"Fe EnsayadoLD/2""BTR"	"Cu CalculadoLD/2""BTR"	"Fe CalculadoLD/2""BTR"	"Cu RipioLD/2""BTR"	"Fe RipioLD/2""BTR"	"Cu extraccionLD/2""BTR"	"Fe extraccionLD/2""BTR"	"H2SO4 consumo (Kg/tLD/2""BTR"	"Cu % -m1""AGV"	"CuSolH+ % -m1""AGV"	"CuCN- % -m1""AGV"	"CuRes % -m1""AGV"	"Fe % -m1""AGV"	"Ret (%) -m1""AGV"	"Ac- (+) (%) -m1""AGV"	"8% Pass (µ) -m1""AGV"	"Cu % -m1/2""AGV"	"CuSolH+ % -m1/2""AGV"	"CuCN- % -m1/2""AGV"	"CuRes % -m1/2""AGV"	"Fe % -m1/2""AGV"	"Ret (%) -m1/2""AGV"	"Ac- (+) (%) -m1/2""AGV"	"8% Pass (µ) -m1/2""AGV"	Cuarzo DRX	Plagioclasa (Oligoclasa)DRX	Feldespato - K (Ortoclasa)DRX	Plagioclasa (Andesina)DRX	Granate (Andradita)DRX	CalcitaDRX	Granate (Grosularia) DRX	Clorita (Clinocloro)DRX	MagnetitaDRX	Mica (Muscovita)DRX	Mineral Laminar*DRX	HematitaDRX	Mica (Biotita)DRX	Yeso DRX	Anatasa DRX	Anfíbol (Actinolita) DRX	Basanita DRX	Talco DRX	k porosidad	Tiempo (min) MOLIENDA	%-m2 MOLIENDA	Cu Ensayado -m65Ty BTR	Fe Ensayado-m65Ty BTR	Cu Calculado-m65Ty BTR	Fe Calculado-m65Ty BTR	Cu Ripio-m65Ty BTR	Fe Ripio-m65Ty BTR	Cu extraccion-m65Ty BTR	Fe extraccion-m65Ty BTR	H2SO4 consumo (Kg/t-m65Ty BTR	Cu%CONC_FLOT_BULK	Fe%CONC_FLOT_BULK	Cu_REC_CONC_FLOT_BULK	Fe_REC_CONC_FLOT_BULK	Cu%_RLV_FLOT_BULK	Fe_%RLV_FLOT_BULK	Cu_REC_RLV_FLOT_BULK	Fe_REC_RLV_FLOT_BULK	Cu%CONC_FLOT_BULK	Fe%CONC_FLOT_BULK	Cu_REC_CONC_FLOT_BULK	Fe_REC_CONC_FLOT_BULK	Cu%_RLV_FLOT_BULK	Fe_%RLV_FLOT_BULK	Cu_REC_RLV_FLOT_BULK	Fe_REC_RLV
	COMPOSITO 11	129.75	0.43	0.28	0.4	0LD1	7.79	0.88	7.45	4.71	8.87	7LD3	1.49	0.9	1.59	0.6	0.95	0LD1	3775	934	294	457	67.7	126	7	3LD	11	0.7	0LD	0LD	13	12	9.4	27	0LD	9	>15	8	3LD	12	0LD	38	5.2	2.8	0.44	0.29	0.5	0.8	7.6	0.61	7.22	1.65	2.79	0.55	0.35	0.6	0LD4	9.84	1.99	9.92	5	0.43	7.79	0.49	8.8	0LD6	7.26	69.5	12.45	>154.21	5	0.435	7.6	0.48	7.21	0LD3	6.44	73.5	12.36	14.6	6.3	6.21	2.73	7.8	9LD4	9.61	1.96	4345.63	8.39	9.2	3.45	8.96	9.28	11.81	11.81	4887	2	17	11	12	12	12	4	2	3	2	0LD	0LD		2		0LD			0LD8	8.8	42.49	0.55	9.84	0.61	1.66	9.>15	9.>15	68.39	14.42	191.8	1.7	6.28	21.29	7.26	0.36	7.27	78.71	92.74								
	COMPOSITO 12	122.5	0.51	0.35	0.4	0LD2	8.99	1	4.86	4.53	8.7	8.74	1.66	0.9	1.39	0.7	1.8	0LD	4757	985	259	429	76.7	18	7	2.8	18	0.6	0LD	0LD	>15	0LD	9LD	35	0LD	7	14	1	3LD	12	0LD	38	5.2	17.2	0.38	0.25	0.3	0.9	7.96	0.69	4.3	1.64	2.8	0.62	0.41	0.6	.>15	11.56	2LD2	4.84	5	0.51	8.99	0.54	9.38	0LD8	8.47	67.98	11.94	111.77	5	0.38	7.96	0.47	8.47	0LD4	7.63	71.72	11.27	99.53	13.65	11.25	34.99	8.85	9.57	12.26	12.75	4361.67	19.9	>15.27	4.24	14.62	12.54	17.34	17.34	58>15	19	14	13	13	17	8	3	2	2	2	2	2		2		0LD			0LD8	9.74	41LD4	0.62	11.56	0.68	13LD4	0.23	11.64	67.37	12.>15	129.77	1.37	7.81	2.22	6.48	0.37	7.79	79.78	93.52								
	COMPOSITO 13	117.45	0.24	.>15	0.2	0.6	5.6	0.67	2LD7	6.3	6LD2	5.32	1.67	0.72	2.6	0.6	0.69	0LD3	268	914	372	534	5.3	133	73	1.9	0LD	0.7	0LD	0LD	8	16	9LD	2	0LD	8	>15	1	3.8	0LD	0LD	28	5.3	26.7	0.25	0LD7	0.3	0.5	5.43	0.45	2.32	1.63	2.8	0.31	0LD9	0.2	0.8	7LD	1.52	2.21	5	0.24	5.6	0.3	6.37	0LD	5.69	67.93	12.83	72.26	5	0.25	5.43	0.24	5.91	0.7	5.27	71.91	11.72	69.9	8.93	7.5	11LD9	11.22	5.7	8.21	9.63	3613.85	14.7	>15.77	>15.81	12.31	1.88	11.98	11.98	438	24	18	13	13	1	4	6	3	2	2	0LD	0LD		0LD		0LD	0LD		0LD9	9.3	38.8	0.31	7LD	0.33	9LD3	0LD2	7.96	63.>15	13LD	83.23	1.74	6.27	43.52	7.76	0LD6	5.24	56.48	92.24								
	COMPOSITO 14	12.75	0.33	0.22	0.2	0.7	6.85	0.86	4.88	5.3	7.85	6.59	1.51	0.78	1.79	0.6	0.9	0LD1	288	889	298	442	67.8	122	7	3	>15	0.6	0LD	0LD	9	>15	8LD	26	0LD	1	12	0LD	3.2	14	0LD	42	5	19.6	0.35	0.26	0.3	0.6	6.25	0.9	9.3	1.65	2.85	0.37	0.24	0.3	0.9	8.42	1.9	5.71	5	0.33	6.85	0.38	6.54	0LD	6.9	71.59	11.39	118.82	5	0.354	6.25	0.34	7LD1	0.9	6.43	74LD2	1.48	18.33	3.37	3.82	2LD	2.95	4.68	7LD3	9.46	3378.78	14.29	12.78	1.88	22.87	12	12.27	12.27	4733	22	18	11	12	13	7	3	2	2	3	0LD	0LD		0LD	0LD	0LD	0LD	0LD	0.2	8	4.24	0.37	8.42	0.42	1LD2	0LD4	8.83	66.59	13.3	133.26	1.83	6.74	36LD9	7.3	0.23	6.8	63.81	92.7								
	COMPOSITO >15	127.35	0.34	0.24	0.3	0.6	7LD9	0.52	4.8	5.9	8.43	6.55	1.47	0.7	1.54	0.6	0.56	0LD2	2957	13	291	463	55	116	69	2.6	12	0.7	0LD	0LD	9	16	9.9	11	0LD	7	19	8	3LD	0LD	0LD	25	5.5	26.3	0.36	0.26	0.4	0.4	5.96	0.29	5LD9	1.65	2.78	0.4	0.27	0.4	0.7	8LD8	1.7	5LD8	5	0.34	7LD9	0.39	6.95	0LD	6.4	74.87	1.3	111.46	5	0.361	5.96	0.4	7.>15	0LD	6.76	76.98	7.94	111.58	11.57	13.35	5LD6	8.82	11	1.91	18.89	3287.33	1.31	11.57	3.32	6.43	8.85	11.9	11.9	4839	21	16	11	1	19	7	4	2	2	3	0LD			0LD	0LD	0LD		0LD	0.2	1.97	37.56	0.4	8LD8	0.45	9	0LD2	8	73.8	11.81	229.26	2.49	6.3	36.44	5.38	0.24	6LD1	63.56	94.62								
	COMPOSITO 16	119.4	0.59	0.39	0.9	0LD	7.65	0.83	3.68	5.38	8.5	7LD2	1.71	0.8	1.69	0.7	0.87	0LD2	5568	15	322	488	59.4	95	7	4LD	0LD	0.6	0LD	0LD	11	14	6.3	47	2	8	8	0LD	3	13	0LD	59	5.4	21.6	0.47	0.35	0.4	0.8	7.58	0.54	3.47	1.62	2.87	0.53	0.37	0.5	0.9	9.27	0.51	4.45	5	0.59	7.65	0.55	7.43	0LD4	6.71	75.26	11.79	98.58	5	0.472	7.58	0.54	6.86	0LD3	6.9	77.34	12.55	87.42	12	14.2	12.55	4.49	9.4	1.87	11.3	4486.>15	>15.43	17.68	8.3	8.8	14.35	12.79	12.79	4883	21	14	13	12	13	6	6	2	2	2	2	2	0LD	0LD	0LD	0LD	0LD	0LD	0.21	9.52	41.55	0.53	9.27	0.59	9.86	0LD6	8.57	73.46	13.75	233LD3	3.7	7.26	39.31	7.6	0.33	6.59	6.69	92.94	1.3	6.38	3.52	11.7	0.44	9.71	69.48	88.93
	COMPOSITO 17	125.95	0.33	0.22	0.3	0.8	6.41	0.96	4.6	5.43	8.39	6.26	1.89	0.79	1.65	0.7	1	0LD2	3289	975	314	527	6.6	126	74	3	>15	0.6	0LD	0LD	1	22	5.3	2	0LD	6	>15	0LD	2.9	11	0LD	39	5.3	19.7	0.33	0.23	0.4	0.6	5.98	0.49	3.87	1.67	2.84	0.41	0.27	0.5	0.8	8.47	0.43	4.83	5	0.33	6.41	0.37	6.58	0LD1	5.91	7.5	12.23	19.9	5	0.329	5.98	0.37	6.5	0LD2	5.92	68.7	9.78	93.91	6.97	7.54	4.92	5.76	5.96	9	9	376.72	23.5	2.77	29.38	28.73	14.53	11.43	11.43	4812	21	>15	18	1	12	7	4	2	0LD	2	0LD	2	0LD	0LD		0LD	0LD		0LD8	1.61	39.31	0.41	8.47	0.46	9.4	0LD4	7.98	7.54	>15.52	247.86	2.8	7.3	35.34	6.49	0.21	5.69	64.66	93.51								
	COMPOSITO 18	126.95	0.3	0.21	0.3	0.6	7.35	0.64	2.71	5.43	8.2	7.22	1.81	0.82	1.9	0.6	0.69	0LD2	2999	135	336	534	56	139	75	3.4	11	0.7	0LD	0LD	1	13	3.9	36	0LD	4	6	0LD	2.6	11	0LD	52	4.7	2.2	0.27	0.21	0.2	0.4	6.64	0.31	2.39	1.68	2.72	0.39	0.25	0.4	0.9	1.33	0.67	4.63	5	0.3	7.35	0.34	7.23	0.9	6.52	72.94	12.4	75.47	5	0.267	6.64	0.3	6.49	0.7	5.91	76.45	1.28	64	5.62	5.49	8.45	5.79	4.44	7.99	8.33	3579.61	12.63	11.54	17.23	>15.39	9.42	11.48	11.48	4694	23		14	12	16	5	3	3	0LD	2		0LD	0LD			0LD	0LD		0LD7	12.9	36.73	0.39	1.33	0.44	1.8	0LD4	9.35	69.48	13.69	196.96	0.79	6.32	>15.48	5LD6	0.24	6.51	84.52	94.84								
	COMPOSITO 19	145.35	0.32	0LD8	0.3	0LD	5.45	0.72	3.8	6.22	6.54	5.35	1.92	0.88	1.93	0.7	0.83	0LD4	313	92	348	637	76.9	92	72	3.6	17	0.8	0LD	0LD	9	18	5.8	51	0LD	7	18	0LD	3.5	0LD	0LD	46	5.9	2.4	0.34	0.2	0.4	0LD	5.71	0.63	2.63	1.57	2.79	0.42	0.24	0.5	0LD1	8.2	0.32	1.55	5	0.32	5.45	0.36	6.8	0LD4	5.33	63LD	14.48	95.32	5	0.343	5.71	0.32	5.52	0LD2	4.82	63.47	14.44	82.46	11.5	9.81	27.65	6.78	9.93	11.53	12LD3	4579.5	7.35	6.84	5.5	8.47	6.64	12.36	12.36	4579	21	16	17	12	11	5	3	3	0LD	3	2	2		0LD		0LD	0LD		0LD8	9.32	41.87	0.42	8.2	0.44	8.54	0LD6	7.4	64.45	14.29	12.42	1.68	6.77	37.4	9.2	0.22	5LD	62.96	9.8	1.7	6.57	42.87	13.5	0.28	8LD3	57LD3	86.5
	COMPOSITO 2	123LD	0.29	0LD8	0.2	0.8	6.52	0.66	2.81	5.99	6.82	6.26	1.88	0.82	1.79	0.6	0.8	0LD4	2753	982	3>15	558	91.4	18	72	2.3	7	0.6	0LD	0LD	1	21	7LD	22	0LD	7	5	6	3.3	19	0LD	35	5.7	21.5	0.27	0LD8	0.3	0.6	6LD3	0.43	2.55	1.63	2.78	0.4	0.25	0.5	0LD	8.9	0.52	5.72	5	0.29	6.52	0.35	7LD1	0LD1	6.44	69.72	11.56	84.49	5	0.268	6LD3	0.32	5.93	0LD	5.34	7.35	12LD4	76.69	5.41	5.69	4.69	4LD8	5.41	7.76	9.6	494.29	8.73	9.91	4.55	6LD6	7.87	1.8	1.8	435	23	>15	16	12	1	4	6	2	2	3	2	0LD		0LD	0LD	0LD	0LD		0LD7	1	39.82	0.4	8.9	0.43	8.95	.>15	7.85	65.65	12.85	125.43	1.65	6.94	34.4	7.27	0.21	5.77	65.96	92.73								
	COMPOSITO 21	119.5	0.26	0LD7	0.2	0.6	5.9	0.43	5.86	5.94	7.58	4.91	2.6	0.74	1.83	0.6	0.42	0LD3	2659	71	341	664	59.8	111	6	1.4	12	0.6	0LD	0LD	7	18	5.2	>15	0LD	6	14	0LD	3	16	0LD	37	5.5	19.8	0.3	0.2	0.3	0.5	5.6	0.34	4.92	1.61	2.77	0.38	0.24	0.5	0.8	7.34	0.26	2.35	5	0.26	5.9	0.28	5.54	0.9	4.95	68LD7	12.93	111.8	5	0.31	5.6	0.26	4.76	0.8	4LD6	69.76	13.22	111LD6	4.91	5.28	3.32	4.2	5.>15	8.98	9.3	3771.52	8.7	8LD1	>15.97	7.9	8.76	11.26	11.26	4219	25	14	18	14	9	8	2	2	0LD	2	2	0LD				0LD	0LD		0LD8	9.97	38.42	0.38	7.34	0.39	7.4	0LD3	6.46	66.79	12.85	149.5	0.85	5.56	2.26	6.92	0.23	5.2	79.74	93.8								
	COMPOSITO 22	111	0.31	0LD3	0.6	0LD1	11.34	0.42	2.99	5.9	7LD3	1.81	1.54	0.63	1.68	0.6	0.5	0LD1	333	896	312	46	72.8	117	66	1.6	2	0.7	0LD	0LD	17	13	5.7	26	0LD	4	4	0LD	2.6	0LD	0LD	5	4.9	14.9	0.36	.>15	0.7	0LD	9	0.3	2.43	1.66	2.86	0.44	0LD9	0LD2	0LD2	18LD4	0.22	0.64	5	0.31	11.34	0.35	11.8	0LD6	11.>15	54.26	7.84	69.81	5	0.356	9	0.3	8.79	0LD4	8LD3	54LD1	8.44	71LD2	6.34	11.38	1.84	3.34	6.4	9.67	9.67	487.91	7.92	8.77	5.22	7.63	8.43	12	12	519	2	>15	13	14	>15	4	3	2	3	2	2	4				0LD	0LD		0LD9	0LD	0LD	0.44	18LD4	0.45	19.61	0.24	18.7	46.69	5.37	8.67																
	COMPOSITO 23	127.45	0.34	0.2	0.4	0LD	6.97	0.54	2.58	5.99	6.6	7.7	1.9	0.67	2.6	0.6	0.53	0LD2	337	93	376	557	65LD	14	71	2.5	11	0.7	0LD	0LD	11	18	8	21	0LD	7	1	0LD	2.8	0LD	0LD	32	5.4	21.2	0.29	0LD8	0.4	0.7	5.71	0.27	2.42	1.63	2.81	0.51	0.31	0.9	0LD1	11.46	0.66	3LD	5	0.34	6.97	0.39	7.7	0LD4	6.96	64.59	11.91	88.62	5	0.291	5.71	0.3	5.91	0LD1	5.4	65.57	1.94	69.74	4.6	2.88	11.84	5.21	4.72	1.44	11.6	412.49	11.95	11.35	6.7	>15.26	11.87	18.45	18.45	683	23	>15	13	18	11	5	3	3	2	2	0LD	0LD	0LD	0LD		0LD			.>15	12.49	37.7	0.51	11.46	0.55	12.>15	0.2	1.96	63.34	9.96	86.24	1.34	6LD	23.76	5.82	0.25	5.64	76.24	94LD8								
	COMPOSITO 24	123.8	0.31	0.2	0.4	0.7	6.>15	0.38	2.63	5.73	6LD3	6.23	2LD8	0.73	1.88	0.5	0.39	0LD3	2984	866	323	626	62LD	>155	7	2.3	8	0.6	0LD	0LD	9	2	6.2	2	0LD	5	0LD	0LD	3	11	0LD	23	5.3	14.7	0.34	0.23	0.5	0.6	6.3	0.27	2.28	1.65	2.8	0.45	0.3	0.8	0.9	11.78	0.37	3.68	5	0.31	6.>15	0.38	7.32	0LD1	6.58	71.62	12.3	77.65	5	0.339	6.3	0.37	6.46	0LD1	5.86	71.48	1.26	7.44	8.59	9.64	4.88	7.>15	9.38	14LD9	16.44	5697.66	2.23	17.36	3.28	22.86	13.95	16.21	16.21	5666	27	17	18	1	11	4	2	3	2	2		0LD				0LD			0LD7	11.62	36.8	0.45	11.78	0.49	11.95	.>15	1.74	69.43	1.29	93.77	2.52	6.72	49.24	7LD6	0LD7	5.56	5.76	92.84								
	COMPOSITO 25	127.4	0.7	0.2	0LD	0.5	4.29	0LD4	23.91	4.92	>15	4LD2	0.91	1.>15	0.96	0.3	0LD8	0LD9	7	674	3	198	119	59	111	0.4	11	0LD	0LD	0LD	13	11	5.5	5	0LD	11	17	0LD	7.9	0LD	0LD	0LD	7LD	24.7	0.8	0.3	0LD	0.4	4.22	.>15	25LD1	1.54	2.71	0.9	0.4	0.2	0.4	5.98	0.6	3.77																					14.67	12.94	8.89	16.31	4.47	8.89	11.89	4136.>15																											0.22																											
	COMPOSITO 26	119.35	0.32	0LD7	0.5	0.8	5.87	0.57	4.2	6LD4	6LD7	5.64	2LD	0.9	1.99	0.6	0.54	0LD3	36	71	364	634	8.5	119	66	1.7	6	0.7	0LD	0LD	11	18	1.5	22	0LD	6	>15	9	3.3	0LD	0LD	35	5.6	>15.2	0.27	.>15	0.5	0.7	6LD	0.43	3.56	1.62	2.76	0.51	0.3	0LD1	0LD	8.27	0.67	7.36	5	0.32	5.87	0.35	6.58	0LD4	5.91	6.2	12.28	98.91	5	0.271	6LD	0.3	6.>15	0LD1	5.51	63.7	11.26	91.6	16.71	9.55	41.97	14.4	9.99	1.54	12.43	4499.35	24.57	31.44	7.2	14.7	14	>15.22	>15.22	5425	23	16	18	14	8	6	2	3	2	2	0LD	0LD		0LD		0LD		0LD	0LD6	1.49	4.84	0.51	8.27	0.54	9	0.2	7.96	63.61	12.48	143.39	1.75	6.55	52.35	1.2	0LD4	5LD1	47.65	89.8								
	COMPOSITO 27	132.85	0.59	0.38	0.8	0LD2	8LD1	0.91	4.69	4.95	8.52	7.85	1.6	0.86	1.49	0.7	1LD3	0LD2	5656	999	286	522	74.7	91	76	4.9	17	0.6	0LD	0LD	11	12	5.6	2	0LD	8	16	0LD	2.9	16	0LD	51	5.2	21.6	0.46	0.29	0.8	0LD	7.96	0.59	5	1.63	2.88	0.63	0.41	0.9	0LD1	9.5	0.7	4.>15	5	0.59	8LD1	0.55	8LD	0LD6	7.26	71.>15	11.52	126.6	5	0.457	7.96	0.47	8.8	0LD4	7.34	69.6	9.88	112.96	5.44	3.53	9LD9	9.2	8.88	11.9	12.87	4665.45	13.98	17.>15	8.81	7LD9	1.45	12.66	12.66	4757	19	>15	14	11	>15	8	3	3	2	3	2	2		0LD		0LD		0LD	0LD8	9LD6	42LD6	0.63	9.5	0.74	9LD	0.25	8.96	66.43	1.48	>151.4	3.4	7.91	48.99	7.>15	0.25	8.25	51LD	92.85	1.74	7.84	43.5	12.88	0.43	9.89	56.95	87LD2
	COMPOSITO 28	138.8	0.38	0.26	0.5	0.9	7LD2	0.58	2.44	5.69	6.8	6.83	1.83	0.64	1.99	0.6	0.6	0LD2	3689	757	34	539	6.3	11	71	2.6	18	0.7	0LD	0LD	11	19	7.4	19	0LD	6	9	0LD	2.8	0LD	0LD	44	5LD	19.8	0.32	0.23	0.4	0.6	7.6	0.4	1.73	1.64	2.86	0.45	0.29	0.6	0.8	1.89	0.46	2	5	0.38	7LD2	0.41	7.78	0LD1	7.7	74.52	11.28	7.53	5	0.324	7.6	0.35	7.64	0.9	6.99	75.64	9.79	65.37	5.62	4.72	8.96	7.33	8.86	7.57	9.65	426.6	7.88	8.97	3.71	5.52	1.66	11.53	11.53	4877	21	16	16	>15	12	4	2	2	2	2	0LD	2	0LD	0LD		0LD	0LD		.>15	9.>15	39.57	0.45	1.89	0.51	11.75	0LD6	1.68	68LD2	9.39	86.47	2.26	7.29	42.76	7.37	0.22	6.5	57.24	92.63								
	COMPOSITO 29	122.5	0.36	0LD8	0.4	0LD1	9.61	0.51	1.81	4.61	7.81	8.78	1.48	0.69	1.39	0.6	0.49	0LD1	3395	1249	257	449	68.6	12	14	2.3	25	0.6	0LD	0LD	11	>15	6LD	41	0LD	7	9	0LD	2.6	0LD	0LD	53	5.7	22.8	0.31	0LD8	0.3	0.8	8LD	0.32	1.67	1.65	2.9	0.49	0.27	0.7	0LD3	12.4	0.57	4.72	5	0.36	9.61	0.38	9.6	.>15	8.31	6.22	1.54	68.27	5	0.312	8LD	0.32	8.77	0LD2	8.9	62.78	9.55	72LD6	5.46	4.65	11.9	6.22	6.67	8.32	9LD4	395LD2	3.61	4.29	2.3	3.21	5.6	7.73	7.73	399	23	13	12	12	22	2	3	0LD	0LD	2	3	2	0LD	0LD		0LD	0LD		0LD9	7.2	41.89	0.49	12.4	0.56	13.29	0.25	12.24	54.59	8.52	75.59	1.87	7.75	39.53	6.33	0.22	8.67	6.47	93.67								
	COMPOSITO 3	125.2	0.35	0.2	0.6	0LD	8.53	0.53	5LD	5LD8	8.9	8.>15	1.45	0.77	1.71	0.6	0.52	0LD1	3444	119	337	465	72LD	97	74	2.7	13	0.6	0LD	0LD	11	>15	7.2	32	0LD	7	13	0LD	2.7	11	0LD	37	5.9	21.8	0.32	0LD7	0.4	0LD	8LD	0.32	4.83	1.68	2.88	0.54	0.3	0LD2	0LD2	12.76	0.3	5.5	5	0.35	8.53	0.37	8.26	0LD4	7.58	62.85	1.38	112.39	5	0.316	8LD	0.34	7.22	0LD3	6.66	62.2	9.71	114.59	9.31	11.9	5.67	7.42	4.49	1.27	11LD7	476.93	11.85	12.32	11.96	11.95	11.35	12LD1	12LD1	4696	2	>15	11	14	>15	7	4	2	2	2	2	2	0LD	0LD		0LD			0.2	1.57	37.7	0.54	12.76	0.62	13LD9	0.27	12LD	57.69	9.43	124.22	2.62	6.79	52.9	5.55	.>15	7.52	47LD	94.45								
																																																																																																																																														
										Cifras expresadas en %									Cifras en ppm																																																																																																																											
					" LD<LD; <LD"						>>15.																" LD
<.3; <LD"	" LD
<.5; <LD"	" LD
<5; <LD"	" LD
<1 <LD"		" LD
<1; <LD"			" LD
<1; <LD"		" LD
<2; <LD"	" LD
<5; <LD"		" LD
<1; <LD"	" LD
<2; <LD"	" LD
<1; <LD"																			  MUESTRA DESCARTADA / NO TIENE VALOR																				"Fracción (-m1/2"", +m1/4"") "								1	"Fracción (+m1/4"")"													 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD	 LD<LD		 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR	 MUESTRA DESCARTADA / NO TIENE VALOR					EN BLANCO_ NO SE REALIZO PRUEBA				EN BLANCO_ NO SE REALIZO PRUEBA						
	LEYENDA																																																																																"Fracción (+m1/4"") "																																				 LD Muestra insuficiente																									
	_1	ANALISIS QUIMICO GRUESO																																																																															"Fracción (-m1/4"", +m6Ty) "								" 
MUESTRA DESCARTADA / NO TIENE VALOR"														  MUESTRA DESCARTADA / NO TIENE VALOR																																							
	_2	ICP																																																																																																																																												
	_3	ANALISIS QUIM MEDIO																																																																																																																																												
	_4	DENSIDAD APARENTE																																																																																																																																												
	_5	GRAV ESPECIF																																																																																																																																												
	_6	AQ FINOS																																																																																																																																												
	_7	BTR GRUESO																																																																																																																																												
	_8	BTR MEDIO																																																																																																																																												
	_9	AGV GRUEO																																																																																																																																												
	_1	AGV MEDIO																																																																																																																																												
	_11	DRX																																																																																																																																												
	_12	POROSIDAD																																																																																																																																												
	_13	MOLIENDA																																																																																																																																												
	_14	BTR FINO																																																																																																																																												
	_>15	FLOTACION BULK																																																																																																																																												
	_16	FLOTACION BULK FINOS																																																																																																																																												
